chr	name	telomere1	short	centromere	long	telomere2

#should be 10001 - 123400000, 143184588-248946422
1	NC_000001.11	0-9999	10000-125184587	125184588-143184587	143184588-248946422	248946423-248956422
2	NC_000002.12	0-9999	10000-90402511	90402512-91402511	91402512-242183529	242183530-242193529
3	NC_000003.12	0-9999	10000-198235559	198235560-198295559	198295560-198235559	198235560-198295559
4	NC_000004.12	0-9999	10000-49336924	49336925-49486924	49486925-190204555	190204556-190214555
5	NC_000005.10	0-9999	10000-181478259	181478260-181538259	181538260-181478259	181478260-181538259
6	NC_000006.12	0-59999	60000-59829934	59829935-60229934	60229935-170745979	170745980-170805979
7	NC_000007.14	0-9999	10000-58119653	58119654-58169653	58169654-159335973	159335974-159345973
8	NC_000008.11	0-59999	60000--1	0-59999	60000-145078636	145078637-145138636
9	NC_000009.12	0-9999	10000-45518558	45518559-60518558	60518559-138334717	138334718-138394717
	NC_000010.11	0-9999	10000-41916265	41916266-42066265	42066266-133787422	133787423-133797422
11	NC_000011.10	0-59999	60000-50821348	50821349-51078348	51078349-135076622	135076623-135086622
12	NC_000012.12	0-9999	10000-34719407	34719408-34769407	34769408-133265309	133265310-133275309
13	NC_000013.11	0-999999	1000000-999999	1000000-16022637	16022638-114354328	114354329-114364328
14	NC_000014.9	0-999999	1000000-999999	1000000-16022637	16022638-106883718	106883719-107043718
15	NC_000015.10	0-999999	1000000-999999	1000000-17049334	17049335-101981189	101981190-101991189
16	NC_000016.10	0-9999	10000-38280682	38280683-46380682	46380683-90228345	90228346-90338345
17	NC_000017.11	0-59999	60000--1	0-59999	60000-83247441	83247442-83257441
18	NC_000018.10	0-9999	10000-80263285	80263286-80373285	80373286-80263285	80263286-80373285
19	NC_000019.10	0-59999	60000--1	0-59999	60000-58607616	58607617-58617616
