# Updated on: July 06 2021
# NOTE: short arm = nt 10000-125184587; long arm = nt 143184588-248946422 
gene_num,gene,chr,start,end,arm,type,strand,range_start,range_end,overlap
1,OR4F5,1,65419,71585,short,gene,plus,10000,350705,
2,LOC112268260,1,350706,476822,short,gene,minus,71586,586286,True
3,OR4F29,1,450740,451678,short,gene,minus,71586,586286,True
4,LOC105378947,1,586287,611297,short,gene,minus,476823,683909,
5,OR4F16,1,683910,720115,short,gene,minus,611298,923922,
6,SAMD11,1,923923,944574,short,gene,plus,720116,960102,True
7,NOC2L,1,944203,959256,short,gene,minus,720116,960102,True
8,KLHL17,1,960103,965719,short,gene,plus,959257,965819,
9,PLEKHN1,1,965820,975865,short,gene,plus,965720,998961,True
10,PERM1,1,975198,982093,short,gene,minus,965720,998961,True
11,HES4,1,998962,1001052,short,gene,minus,982094,1013496,
12,ISG15,1,1013497,1014540,short,gene,plus,1001053,1020101,
13,AGRN,1,1020102,1056119,short,gene,plus,1014541,1070966,
14,RNF223,1,1070967,1074306,short,gene,minus,1056120,1081822,
15,C1orf159,1,1081823,1116089,short,gene,minus,1074307,1173054,
16,TTLL10-AS1,1,1173055,1179648,short,gene,minus,1116090,1203507,True
17,TTLL10,1,1173709,1197936,short,gene,plus,1116090,1203507,True
18,TNFRSF18,1,1203508,1207901,short,gene,minus,1197937,1211325,
19,TNFRSF4,1,1211326,1216812,short,gene,minus,1207902,1216907,
20,SDF4,1,1216908,1232005,short,gene,minus,1216813,1232236,
21,B3GALT6,1,1232237,1235041,short,gene,plus,1232006,1242447,
22,C1QTNF12,1,1242448,1247218,short,gene,minus,1235042,1253911,
23,UBE2J2,1,1253912,1273854,short,gene,minus,1247219,1280435,
24,SCNN1D,1,1280436,1292025,short,gene,plus,1273855,1292383,
25,ACAP3,1,1292384,1307930,short,gene,minus,1292026,1308562,
26,PUSL1,1,1308563,1311677,short,gene,plus,1307931,1324756,True
27,INTS11,1,1311597,1324660,short,gene,minus,1307931,1324756,True
28,CPTP,1,1324757,1328896,short,gene,plus,1324661,1331279,
29,TAS1R3,1,1331280,1335320,short,gene,plus,1328897,1352688,True
30,DVL1,1,1335278,1349418,short,gene,minus,1328897,1352688,True
31,MXRA8,1,1352689,1363541,short,gene,minus,1349419,1373729,
32,AURKAIP1,1,1373730,1375516,short,gene,minus,1363542,1385710,
33,CCNL2,1,1385711,1399336,short,gene,minus,1375517,1401908,
34,MRPL20,1,1401909,1407293,short,gene,minus,1399337,1418419,
35,ANKRD65,1,1418420,1422471,short,gene,minus,1407294,1425870,
36,TMEM88B,1,1425871,1430255,short,gene,plus,1422472,1433232,
37,LOC107985729,1,1433233,1435626,short,gene,plus,1430256,1435689,
38,VWA1,1,1435690,1442882,short,gene,plus,1435627,1449688,
39,ATAD3C,1,1449689,1470163,short,gene,plus,1442883,1471731,
40,ATAD3B,1,1471732,1509466,short,gene,plus,1470164,1512142,
41,ATAD3A,1,1512143,1534686,short,gene,plus,1509467,1534777,
42,TMEM240,1,1534778,1540624,short,gene,minus,1534687,1541672,
43,SSU72,1,1541673,1574863,short,gene,minus,1540625,1598011,
44,FNDC10,1,1598012,1600135,short,gene,minus,1574864,1613729,
45,MIB2,1,1613730,1630605,short,gene,plus,1600136,1631680,
46,MMP23B,1,1631681,1635638,short,gene,plus,1630606,1659797,True
47,CDK11B,1,1635225,1659619,short,gene,minus,1630606,1659797,True
48,SLC35E2B,1,1659798,1692795,short,gene,minus,1659620,1702378,
49,CDK11A,1,1702379,1724357,short,gene,minus,1692796,1724837,
50,SLC35E2A,1,1724838,1746070,short,gene,minus,1724358,1751231,
51,NADK,1,1751232,1780509,short,gene,minus,1746071,1785285,
52,GNB1,1,1785286,1891087,short,gene,minus,1780510,1913750,
53,CALML6,1,1913751,1917296,short,gene,plus,1891088,1917590,
54,TMEM52,1,1917591,1919279,short,gene,minus,1917297,1921956,
55,CFAP74,1,1921957,2003837,short,gene,minus,1919280,2019344,
56,GABRD,1,2019345,2030758,short,gene,plus,2003838,2050410,
57,PRKCZ,1,2050411,2185395,short,gene,plus,2030759,2228318,True
58,FAAP20,1,2184457,2212720,short,gene,minus,2030759,2228318,True
59,SKI,1,2228319,2310213,short,gene,plus,2212721,2321252,
60,MORN1,1,2321253,2391554,short,gene,minus,2310214,2391840,
61,RER1,1,2391841,2405436,short,gene,plus,2391555,2412480,True
62,PEX10,1,2403974,2413827,short,gene,minus,2391555,2508536,True
63,PLCH2,1,2412481,2505532,short,gene,plus,2405437,2508536,True
64,PANK4,1,2508537,2526622,short,gene,minus,2505533,2528744,
65,HES5,1,2528745,2530554,short,gene,minus,2526623,2556370,
66,TNFRSF14,1,2556371,2563829,short,gene,plus,2530555,2586522,
67,PRXL2B,1,2586523,2591469,short,gene,plus,2563830,2636987,True
68,MMEL1,1,2590639,2633042,short,gene,minus,2563830,2636987,True
69,TTC34,1,2636988,2800868,short,gene,minus,2633043,3021466,
70,ACTRT2,1,3021467,3022903,short,gene,plus,2800869,3069202,
71,PRDM16,1,3069203,3438621,short,gene,plus,3022904,3454588,
72,ARHGEF16,1,3454589,3481115,short,gene,plus,3438622,3487950,
73,MEGF6,1,3487951,3624770,short,gene,minus,3481116,3625014,
74,TPRG1L,1,3625015,3630127,short,gene,plus,3624771,3630766,
75,WRAP73,1,3630767,3650103,short,gene,minus,3630128,3652515,
76,TP73,1,3652516,3736201,short,gene,plus,3650104,3752397,
77,CCDC27,1,3752398,3771645,short,gene,plus,3736202,3772748,
78,SMIM1,1,3772749,3775956,short,gene,plus,3771646,3778558,
79,LRRC47,1,3778559,3796498,short,gene,minus,3775957,3812085,
80,CEP104,1,3812086,3857233,short,gene,minus,3796499,3857285,
81,DFFB,1,3857286,3885429,short,gene,plus,3857234,3889132,
82,C1orf174,1,3889133,3900293,short,gene,minus,3885430,4654608,
83,AJAP1,1,4654609,4792534,short,gene,plus,3900294,5862809,
84,NPHP4,1,5862810,5992425,short,gene,minus,4792535,5992638,
85,KCNAB2,1,5992639,6101186,short,gene,plus,5992426,6101786,
86,CHD5,1,6101787,6180321,short,gene,minus,6101187,6185019,
87,RPL22,1,6185020,6199595,short,gene,minus,6180322,6206003,
88,RNF207,1,6206004,6221299,short,gene,plus,6199596,6244178,True
89,ICMT,1,6221193,6235964,short,gene,minus,6199596,6244178,True
90,HES3,1,6244179,6245578,short,gene,plus,6235965,6247352,
91,GPR153,1,6247353,6261098,short,gene,minus,6245579,6264271,
92,ACOT7,1,6264272,6393767,short,gene,minus,6261099,6415231,
93,HES2,1,6415232,6419919,short,gene,minus,6393768,6424775,
94,ESPN,1,6424776,6461367,short,gene,plus,6419920,6466091,True
95,TNFRSF25,1,6460786,6466173,short,gene,minus,6419920,6521346,True
96,PLEKHG5,1,6466092,6520092,short,gene,minus,6461368,6521346,True
97,NOL9,1,6521347,6554535,short,gene,minus,6520093,6555306,
98,TAS1R1,1,6555307,6579755,short,gene,plus,6554536,6579993,
99,ZBTB48,1,6579994,6589280,short,gene,plus,6579756,6590723,
100,KLHL21,1,6590724,6602869,short,gene,minus,6589281,6613730,
101,PHF13,1,6613731,6624030,short,gene,plus,6602870,6624615,
102,THAP3,1,6624616,6635595,short,gene,plus,6624031,6785451,True
103,DNAJC11,1,6634168,6701833,short,gene,minus,6624031,6785451,True
104,CAMTA1,1,6785452,7769706,short,gene,plus,6701834,7771274,
105,VAMP3,1,7771275,7781432,short,gene,plus,7769707,7784284,
106,PER3,1,7784285,7845181,short,gene,plus,7781433,7846344,
107,UTS2,1,7846345,7913615,short,gene,minus,7845182,7915870,
108,TNFRSF9,1,7915871,7941607,short,gene,minus,7913616,7961710,
109,PARK7,1,7961711,7985505,short,gene,plus,7941608,8011724,
110,ERRFI1,1,8011725,8026309,short,gene,minus,7985506,8318113,
111,SLC45A1,1,8318114,8344167,short,gene,plus,8026310,8352403,
112,RERE,1,8352404,8817640,short,gene,minus,8344168,8860999,
113,ENO1,1,8861000,8878686,short,gene,minus,8817641,8945867,
114,CA6,1,8945868,8975092,short,gene,plus,8878687,8992533,
115,SLC2A7,1,8992534,9026423,short,gene,minus,8975093,9035105,
116,SLC2A5,1,9035106,9072259,short,gene,minus,9026424,9100304,
117,GPR157,1,9100305,9129124,short,gene,minus,9072260,9234766,
118,H6PD,1,9234767,9271337,short,gene,plus,9129125,9292893,
119,SPSB1,1,9292894,9369532,short,gene,plus,9271338,9539464,
120,SLC25A33,1,9539465,9585173,short,gene,plus,9369533,9588842,
121,TMEM201,1,9588843,9614877,short,gene,plus,9585174,9629888,
122,PIK3CD,1,9629889,9729114,short,gene,plus,9614878,9848275,True
123,CLSTN1,1,9728926,9824526,short,gene,minus,9614878,9848275,True
124,CTNNBIP1,1,9848276,9910322,short,gene,minus,9824527,9922117,
125,LZIC,1,9922118,9943402,short,gene,minus,9910323,9997227,True
126,NMNAT1,1,9942923,9996884,short,gene,plus,9910323,9997227,True
127,RBP7,1,9997228,10016021,short,gene,plus,9996885,10032957,
128,UBE4B,1,10032958,10181239,short,gene,plus,10016022,10210569,
129,KIF1B,1,10210570,10381603,short,gene,plus,10181240,10399063,
130,PGD,1,10399064,10420511,short,gene,plus,10381604,10430432,
131,CENPS,1,10430433,10442808,short,gene,plus,10420512,10450030,True
132,CENPS-CORT,1,10430433,10452153,short,gene,plus,10420512,10456521,True
133,CORT,1,10450031,10451998,short,gene,plus,10442809,10456521,True
134,DFFA,1,10456522,10472529,short,gene,minus,10452154,10474945,
135,PEX14,1,10474946,10630758,short,gene,plus,10472530,10636603,
136,CASZ1,1,10636604,10796650,short,gene,minus,10630759,10946472,
137,C1orf127,1,10946473,10982076,short,gene,minus,10796651,11012653,
138,TARDBP,1,11012654,11030528,short,gene,plus,10982077,11054588,True
139,MASP2,1,11026523,11047239,short,gene,minus,10982077,11054588,True
