# Updated on: July 06 2021
# NOTE: short arm = nt 10000-125184587; long arm = nt 143184588-248946422 
gene_num,gene,chr,start,end,arm,type,strand,range_start,range_end
1,H3-2,1,143902386,143905977,long,gene,minus,143184588,143955286
2,FAM72C,1,143955287,143973564,long,gene,minus,143905978,144372874
3,PPIAL4E,1,144372875,144373634,long,gene,minus,143973565,144421389
4,NBPF15,1,144421390,144461669,long,gene,minus,144373635,144592892
5,PPIAL4F,1,144592893,144593652,long,gene,plus,144461670,144887190
6,SRGAP2B,1,144887191,145095380,long,gene,minus,144593653,145133551
7,FAM72D,1,145093805,145112696,long,gene,plus,144593653,145133551
8,LOC101929805,1,145133552,145149891,long,gene,plus,145112697,145241414
9,PPIAL4D,1,145241415,145242174,long,gene,minus,145149892,145289899
10,NBPF20,1,145289900,145405778,long,gene,minus,145242175,145607986
11,GPR89A,1,145607987,145670977,long,gene,plus,145405779,145719311
12,PDZK1,1,145670852,145708201,long,gene,minus,145405779,145719311
13,CD160,1,145719312,145739288,long,gene,plus,145708202,145823182
14,RNF115,1,145738868,145824095,long,gene,minus,145708202,145844984
15,POLR3C,1,145823183,145844402,long,gene,plus,145739289,145844984
16,NUDT17,1,145844985,145848954,long,gene,plus,145844403,145866563
17,PIAS3,1,145848522,145859081,long,gene,minus,145844403,145866563
18,ANKRD35,1,145866564,145885866,long,gene,minus,145859082,145891207
19,ITGA10,1,145891208,145910050,long,gene,minus,145885867,145911347
20,PEX11B,1,145911348,145918717,long,gene,minus,145910051,145921555
21,RBM8A,1,145921556,145927484,long,gene,minus,145918718,145933422
22,LIX1L,1,145933423,145958038,long,gene,minus,145927485,145959036
23,ANKRD34A,1,145959441,145964575,long,gene,minus,145958039,145992434
24,POLR3GL,1,145959037,145978848,long,gene,plus,145958039,145992434
25,TXNIP,1,145992435,145996579,long,gene,minus,145978849,146017469
26,HJV,1,146017470,146021735,long,gene,minus,145996580,146064698
27,NBPF10,1,146064699,146144804,long,gene,minus,146021736,146151907
28,NOTCH2NLA,1,146151908,146229032,long,gene,minus,146144805,146344005
29,PPIAL4H,1,146344006,146344765,long,gene,minus,146229033,146938323
