gene,chr,start,end,arm
OR4F5,1,65418,71584,short
SAMD11,1,923922,944573,short
KLHL17,1,960102,965718,short
PLEKHN1,1,965819,975864,short
ISG15,1,1013496,1014539,short
AGRN,1,1020101,1056118,short
TTLL10,1,1173708,1197935,short
B3GALT6,1,1232236,1235040,short
SCNN1D,1,1280435,1292024,short
PUSL1,1,1308562,1311676,short
CPTP,1,1324756,1328895,short
TAS1R3,1,1331279,1335319,short
TMEM88B,1,1425870,1430254,short
LOC107985729,1,1433232,1435625,short
VWA1,1,1435689,1442881,short
ATAD3C,1,1449688,1470162,short
ATAD3B,1,1471731,1509465,short
ATAD3A,1,1512142,1534685,short
MIB2,1,1613729,1630604,short
MMP23B,1,1631680,1635637,short
CALML6,1,1913750,1917295,short
GABRD,1,2019344,2030757,short
PRKCZ,1,2050410,2185394,short
SKI,1,2228318,2310212,pp
RER1,1,2391840,2405435,short
PLCH2,1,2412480,2505531,short
TNFRSF14,1,2556370,2563828,short
PRXL2B,1,2586522,2591468,short
ACTRT2,1,3021466,3022902,short
PRDM16,1,3069202,3438620,short
ARHGEF16,1,3454588,3481114,short
TPRG1L,1,3625014,3630126,short
TP73,1,3652515,3736200,short
CCDC27,1,3752397,3771644,short
SMIM1,1,3772748,3775955,short
DFFB,1,3857285,3885428,short
AJAP1,1,4654608,4792533,short
KCNAB2,1,5992638,6101185,short
RNF207,1,6206003,6221298,short
HES3,1,6244178,6245577,short
ESPN,1,6424775,6461366,short
TAS1R1,1,6555306,6579754,short
ZBTB48,1,6579993,6589279,short
PHF13,1,6613730,6624029,short
THAP3,1,6624615,6635594,short
CAMTA1,1,6785451,7769705,pp
VAMP3,1,7771274,7781431,short
PER3,1,7784284,7845180,short
PARK7,1,7961710,7985504,short
SLC45A1,1,8318113,8344166,short
CA6,1,8945867,8975091,short
H6PD,1,9234766,9271336,short
SPSB1,1,9292893,9369531,short
SLC25A33,1,9539464,9585172,short
TMEM201,1,9588842,9614876,short
PIK3CD,1,9629888,9729113,short
NMNAT1,1,9942922,9996883,short
RBP7,1,9997227,10016020,short
UBE4B,1,10032957,10181238,short
KIF1B,1,10210569,10381602,short
PGD,1,10399063,10420510,short
CENPS,1,10430432,10442807,short
CENPS-CORT,1,10430432,10452152,short
