# Updated on: July 06, 2021
gene,chr,start,end,arm,type,strand
OR4F5,1,65419,71585,short,gene,plus
OR4F29,1,451678,450740,short,gene,minus
LOC112268260,1,476822,350706,short,gene,minus
LOC105378947,1,611297,586287,short,gene,minus
OR4F16,1,720115,683910,short,gene,minus
SAMD11,1,923923,944574,short,gene,plus
NOC2L,1,959256,944203,short,gene,minus
KLHL17,1,960103,965719,short,gene,plus
PLEKHN1,1,965820,975865,short,gene,plus
PERM1,1,982093,975198,short,gene,minus
HES4,1,1001052,998962,short,gene,minus
ISG15,1,1013497,1014540,short,gene,plus
AGRN,1,1020102,1056119,short,gene,plus
RNF223,1,1074306,1070967,short,gene,minus
C1orf159,1,1116089,1081823,short,gene,minus
TTLL10,1,1173709,1197936,short,gene,plus
TTLL10-AS1,1,1179648,1173055,short,gene,minus
TNFRSF18,1,1207901,1203508,short,gene,minus
TNFRSF4,1,1216812,1211326,short,gene,minus
SDF4,1,1232005,1216908,short,gene,minus
B3GALT6,1,1232237,1235041,short,gene,plus
C1QTNF12,1,1247218,1242448,short,gene,minus
UBE2J2,1,1273854,1253912,short,gene,minus
SCNN1D,1,1280436,1292025,short,gene,plus
ACAP3,1,1307930,1292384,short,gene,minus
PUSL1,1,1308563,1311677,short,gene,plus
INTS11,1,1324660,1311597,short,gene,minus
CPTP,1,1324757,1328896,short,gene,plus
TAS1R3,1,1331280,1335320,short,gene,plus
DVL1,1,1349418,1335278,short,gene,minus
MXRA8,1,1363541,1352689,short,gene,minus
AURKAIP1,1,1375516,1373730,short,gene,minus
CCNL2,1,1399336,1385711,short,gene,minus
MRPL20,1,1407293,1401909,short,gene,minus
ANKRD65,1,1422471,1418420,short,gene,minus
TMEM88B,1,1425871,1430255,short,gene,plus
LOC107985729,1,1433233,1435626,short,gene,plus
VWA1,1,1435690,1442882,short,gene,plus
ATAD3C,1,1449689,1470163,short,gene,plus
ATAD3B,1,1471732,1509466,short,gene,plus
ATAD3A,1,1512143,1534686,short,gene,plus
TMEM240,1,1540624,1534778,short,gene,minus
SSU72,1,1574863,1541673,short,gene,minus
FNDC10,1,1600135,1598012,short,gene,minus
MIB2,1,1613730,1630605,short,gene,plus
MMP23B,1,1631681,1635638,short,gene,plus
CDK11B,1,1659619,1635225,short,gene,minus
SLC35E2B,1,1692795,1659798,short,gene,minus
CDK11A,1,1724357,1702379,short,gene,minus
SLC35E2A,1,1746070,1724838,short,gene,minus
NADK,1,1780509,1751232,short,gene,minus
GNB1,1,1891087,1785286,short,gene,minus
CALML6,1,1913751,1917296,short,gene,plus
TMEM52,1,1919279,1917591,short,gene,minus
CFAP74,1,2003837,1921957,short,gene,minus
GABRD,1,2019345,2030758,short,gene,plus
PRKCZ,1,2050411,2185395,short,gene,plus
FAAP20,1,2212720,2184457,short,gene,minus
SKI,1,2228319,2310213,short,gene,plus
MORN1,1,2391554,2321253,short,gene,minus
RER1,1,2391841,2405436,short,gene,plus
PLCH2,1,2412481,2505532,short,gene,plus
PEX10,1,2413827,2403974,short,gene,minus
PANK4,1,2526622,2508537,short,gene,minus
HES5,1,2530554,2528745,short,gene,minus
TNFRSF14,1,2556371,2563829,short,gene,plus
PRXL2B,1,2586523,2591469,short,gene,plus
MMEL1,1,2633042,2590639,short,gene,minus
TTC34,1,2800868,2636988,short,gene,minus
ACTRT2,1,3021467,3022903,short,gene,plus
PRDM16,1,3069203,3438621,short,gene,plus
ARHGEF16,1,3454589,3481115,short,gene,plus
MEGF6,1,3624770,3487951,short,gene,minus
TPRG1L,1,3625015,3630127,short,gene,plus
WRAP73,1,3650103,3630767,short,gene,minus
TP73,1,3652516,3736201,short,gene,plus
CCDC27,1,3752398,3771645,short,gene,plus
SMIM1,1,3772749,3775956,short,gene,plus
LRRC47,1,3796498,3778559,short,gene,minus
CEP104,1,3857233,3812086,short,gene,minus
DFFB,1,3857286,3885429,short,gene,plus
C1orf174,1,3900293,3889133,short,gene,minus
AJAP1,1,4654609,4792534,short,gene,plus
NPHP4,1,5992425,5862810,short,gene,minus
KCNAB2,1,5992639,6101186,short,gene,plus
CHD5,1,6180321,6101787,short,gene,minus
RPL22,1,6199595,6185020,short,gene,minus
RNF207,1,6206004,6221299,short,gene,plus
ICMT,1,6235964,6221193,short,gene,minus
HES3,1,6244179,6245578,short,gene,plus
GPR153,1,6261098,6247353,short,gene,minus
ACOT7,1,6393767,6264272,short,gene,minus
HES2,1,6419919,6415232,short,gene,minus
ESPN,1,6424776,6461367,short,gene,plus
TNFRSF25,1,6466173,6460786,short,gene,minus
PLEKHG5,1,6520092,6466092,short,gene,minus
NOL9,1,6554535,6521347,short,gene,minus
TAS1R1,1,6555307,6579755,short,gene,plus
ZBTB48,1,6579994,6589280,short,gene,plus
KLHL21,1,6602869,6590724,short,gene,minus
PHF13,1,6613731,6624030,short,gene,plus
THAP3,1,6624616,6635595,short,gene,plus
DNAJC11,1,6701833,6634168,short,gene,minus
CAMTA1,1,6785452,7769706,short,gene,plus
VAMP3,1,7771275,7781432,short,gene,plus
PER3,1,7784285,7845181,short,gene,plus
UTS2,1,7913615,7846345,short,gene,minus
TNFRSF9,1,7941607,7915871,short,gene,minus
PARK7,1,7961711,7985505,short,gene,plus
ERRFI1,1,8026309,8011725,short,gene,minus
SLC45A1,1,8318114,8344167,short,gene,plus
RERE,1,8817640,8352404,short,gene,minus
ENO1,1,8878686,8861000,short,gene,minus
CA6,1,8945868,8975092,short,gene,plus
SLC2A7,1,9026423,8992534,short,gene,minus
SLC2A5,1,9072259,9035106,short,gene,minus
GPR157,1,9129124,9100305,short,gene,minus
H6PD,1,9234767,9271337,short,gene,plus
SPSB1,1,9292894,9369532,short,gene,plus
SLC25A33,1,9539465,9585173,short,gene,plus
TMEM201,1,9588843,9614877,short,gene,plus
PIK3CD,1,9629889,9729114,short,gene,plus
CLSTN1,1,9824526,9728926,short,gene,minus
CTNNBIP1,1,9910322,9848276,short,gene,minus
NMNAT1,1,9942923,9996884,short,gene,plus
LZIC,1,9943402,9922118,short,gene,minus
RBP7,1,9997228,10016021,short,gene,plus
UBE4B,1,10032958,10181239,short,gene,plus
KIF1B,1,10210570,10381603,short,gene,plus
PGD,1,10399064,10420511,short,gene,plus
CENPS,1,10430433,10442808,short,gene,plus
CENPS-CORT,1,10430433,10452153,short,gene,plus
CORT,1,10450031,10451998,short,gene,plus
DFFA,1,10472529,10456522,short,gene,minus
PEX14,1,10474946,10630758,short,gene,plus
CASZ1,1,10796650,10636604,short,gene,minus
C1orf127,1,10982076,10946473,short,gene,minus
TARDBP,1,11012654,11030528,short,gene,plus
MASP2,1,11047239,11026523,short,gene,minus
SRM,1,11060053,11054589,short,gene,minus
EXOSC10,1,11099869,11066613,short,gene,minus
