chr	name	telomere1_start	telomere1_end	centromere_start	centromere_end	telomere2_start	telomere2_end		
1	NC_000001.11	0	10000	121500000	128900000	248955422	248956422		
2	NC_000002.12	0	10000	90500000	96800000	242192529	242193529		
3	NC_000003.12	0	10000	87900000	93900000	198294559	198295559		
4	NC_000004.12	0	10000	48200000	52700000	190213555	190214555		
5	NC_000005.10	0	10000	46100000	50700000	181537259	181538259		
6	NC_000006.12	0	10000	58700000	63300000	170804979	170805979		
7	NC_000007.14	0	10000	58000000	61700000	159344973	159345973		
8	NC_000008.11	0	10000	43100000	48100000	145137636	145138636		
9	NC_000009.12	0	10000	47300000	50700000	138393717	138394717		
10	NC_000010.11	0	10000	38000000	42300000	133796422	133797422		
11	NC_000011.10	0	10000	51600000	55700000	135085622	135086622		
12	NC_000012.12	0	10000	33300000	38200000	133274309	133275309		
13	NC_000013.11	0	10000	16300000	19500000	114363328	114364328		
14	NC_000014.9	0	10000	16100000	19100000	107042718	107043718		
15	NC_000015.10	0	10000	15800000	20700000	101990189	101991189		
16	NC_000016.10	0	10000	34600000	38600000	90337345	90338345		
17	NC_000017.11	0	10000	22200000	25800000	83256441	83257441		
18	NC_000018.10	0	10000	15400000	19000000	80372285	80373285		
19	NC_000019.10	0	10000	24400000	28600000	58616616	58617616		
20	NC_000020.11	0	10000	25600000	27500000	64443167	64444167		
21	NC_000021.9	0	10000	10900000	14300000	46708983	46709983		
22	NC_000022.11	0	10000	12200000	17900000	50817468	50818468		
