# Updated on: July 06 2021
# NOTE: short arm = nt 10000-125184587; long arm = nt 143184588-248946422 
gene_num,gene,chr,start,end,arm,type,strand,range_start,range_end
1,OR4F5,1,65419,71585,short,gene,plus,10000,350705
2,OR4F29,1,450740,451678,short,gene,minus,71586,586286
3,LOC112268260,1,350706,476822,short,gene,minus,71586,586286
4,LOC105378947,1,586287,611297,short,gene,minus,476823,683909
5,OR4F16,1,683910,720115,short,gene,minus,611298,923922
6,SAMD11,1,923923,944574,short,gene,plus,720116,960102
7,NOC2L,1,944203,959256,short,gene,minus,720116,960102
8,KLHL17,1,960103,965719,short,gene,plus,959257,965819
9,PLEKHN1,1,965820,975865,short,gene,plus,965720,998961
10,PERM1,1,975198,982093,short,gene,minus,965720,998961
11,HES4,1,998962,1001052,short,gene,minus,982094,1013496
12,ISG15,1,1013497,1014540,short,gene,plus,1001053,1020101
13,AGRN,1,1020102,1056119,short,gene,plus,1014541,1070966
14,RNF223,1,1070967,1074306,short,gene,minus,1056120,1081822
15,C1orf159,1,1081823,1116089,short,gene,minus,1074307,1173054
16,TTLL10-AS1,1,1173055,1179648,short,gene,minus,1116090,1203507
17,TTLL10,1,1173709,1197936,short,gene,plus,1116090,1203507
18,TNFRSF18,1,1203508,1207901,short,gene,minus,1197937,1211325
19,TNFRSF4,1,1211326,1216812,short,gene,minus,1207902,1216907
20,SDF4,1,1216908,1232005,short,gene,minus,1216813,1232236
21,B3GALT6,1,1232237,1235041,short,gene,plus,1232006,1242447
22,C1QTNF12,1,1242448,1247218,short,gene,minus,1235042,1253911
23,UBE2J2,1,1253912,1273854,short,gene,minus,1247219,1280435
24,SCNN1D,1,1280436,1292025,short,gene,plus,1273855,1292383
25,ACAP3,1,1292384,1307930,short,gene,minus,1292026,1308562
26,PUSL1,1,1308563,1311677,short,gene,plus,1307931,1324756
27,INTS11,1,1311597,1324660,short,gene,minus,1307931,1324756
28,CPTP,1,1324757,1328896,short,gene,plus,1324661,1331279
29,TAS1R3,1,1331280,1335320,short,gene,plus,1328897,1352688
30,DVL1,1,1335278,1349418,short,gene,minus,1328897,1352688
31,MXRA8,1,1352689,1363541,short,gene,minus,1349419,1373729
32,AURKAIP1,1,1373730,1375516,short,gene,minus,1363542,1385710
33,CCNL2,1,1385711,1399336,short,gene,minus,1375517,1401908
34,MRPL20,1,1401909,1407293,short,gene,minus,1399337,1418419
35,ANKRD65,1,1418420,1422471,short,gene,minus,1407294,1425870
36,TMEM88B,1,1425871,1430255,short,gene,plus,1422472,1433232
37,LOC107985729,1,1433233,1435626,short,gene,plus,1430256,1435689
38,VWA1,1,1435690,1442882,short,gene,plus,1435627,1449688
39,ATAD3C,1,1449689,1470163,short,gene,plus,1442883,1471731
40,ATAD3B,1,1471732,1509466,short,gene,plus,1470164,1512142
41,ATAD3A,1,1512143,1534686,short,gene,plus,1509467,1534777
42,TMEM240,1,1534778,1540624,short,gene,minus,1534687,1541672
43,SSU72,1,1541673,1574863,short,gene,minus,1540625,1598011
44,FNDC10,1,1598012,1600135,short,gene,minus,1574864,1613729
